query,expected_intent,detected_intent,intent_confidence,intent_match,response_status,escalated,response_length,response_preview
What plans do you offer?,intent_plan_inquiry,intent_plan_inquiry,0.364,Yes,ANSWERED,No,357,"According to the sources, SquareTrade offers comprehensive protection plans for electronics and appl"
What is covered in your plans?,intent_plan_details,intent_plan_inquiry,0.273,No,ANSWERED,No,425,"According to Sources 1 and 2, SquareTrade offers comprehensive protection plans for electronics and "
Where can I find help?,intent_help_resources,intent_welcome,0.188,No,ANSWERED,No,483,"Welcome to SquareTrade! I'm here to help you with: 1) Information about protection plans for phones,"
Do you have any how-to guides?,intent_blog_content,intent_blog_content,0.250,Yes,UNCLEAR,No,246,The SquareTrade Blog provides comprehensive how-to guides and maintenance tips for various devices. 
How much do plans cost?,intent_pricing,intent_pricing,0.222,Yes,ANSWERED,No,95,"According to the sources, plans range from $4-$15 per month depending on device type and value."
How do I file a claim?,intent_file_claim,intent_file_claim,0.500,Yes,ANSWERED,No,418,"To file a claim, log into your SquareTrade account on our website or mobile app. Click on 'File a Cl"
What's the status of my claim?,intent_claim_status,intent_claim_status,0.375,Yes,UNCLEAR,No,117,"The status of your claim is not specified in the context, so I cannot answer this question from the "
Can I get a replacement device?,intent_device_replacement,intent_device_replacement,0.375,Yes,ANSWERED,No,498,"Yes, according to Source 1, SquareTrade offers device replacement for devices beyond repair. You can"
How can I contact support?,intent_contact_support,intent_contact_support,0.300,Yes,ANSWERED,No,149,"According to the sources, you can contact SquareTrade support via phone at 1-888-SQUARE-TRADE, throu"
How do I activate a plan?,intent_activation,intent_activation,0.222,Yes,ESCALATED,Yes,78,I'm not entirely certain about that. Let me escalate this to our support team.
How do I register my plan?,intent_registration,intent_activation,0.222,No,ANSWERED,No,233,"To register your plan, you can register your plan through your SquareTrade account on the website. W"
How do I cancel my plan?,intent_plan_cancellation,intent_file_claim,0.188,No,ANSWERED,No,452,You can cancel your SquareTrade plan at any time through your account or by contacting customer supp
What are common questions?,intent_faq,intent_faq,0.333,Yes,UNCLEAR,No,128,"The context does not provide any information about common questions, so I cannot answer this questio"
What can you help me with?,intent_welcome,intent_welcome,0.375,Yes,ANSWERED,No,483,"Welcome to SquareTrade! I'm here to help you with: 1) Information about protection plans for phones,"
